BarLogIndex,LogDetails
98,DEBUG: Checking immediate CDS confirmation for newly set PDS 97; DEBUG: Confirmed CDS at Bar 97; DEBUG: Immediate CDS confirmation triggered for PDS 97; DEBUG: New CONFIRMED CONTAINMENT established by CDS 97 (H:5187.5) and prior CUS 91 (L:4832.5). Active: True; Signal for Pending Downtrend Start on Bar 97 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 97 (2025-04-07 22:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 97 (2025-04-07 22:00:00+00:00) (Rule: G)
99,Pending Downtrend Start on Bar 99 (2025-04-08 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 99 (2025-04-08 06:00:00+00:00) (by Rule C: HH & Down Close)
100,DEBUG: Confirmed CDS at Bar 99; DEBUG: Confirmed CUS at Bar 93; DEBUG: New CONFIRMED CONTAINMENT established by CDS 99 (H:5191.75) and prior CUS 93 (L:4842.25). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 93 (L:4842.25) and prior CDS 97 (H:5187.5). Active: True; ⏳U Pending Uptrend Start on Bar 99 (2025-04-08 06:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 93 (2025-04-07 06:00:00+00:00) (Rule: HighBreakoutAfterPUSAndInterveningPDS); 📉 Confirmed Downtrend Start from Bar 99 (2025-04-08 06:00:00+00:00) (Rule: HighBreakoutAbovePDS)
101,DEBUG: Confirmed CUS at Bar 99; DEBUG: New CONFIRMED CONTAINMENT established by CUS 99 (L:5151.5) and prior CDS 99 (H:5191.75). Active: True; Pending Downtrend Start on Bar 101 (2025-04-08 14:00:00+00:00); Pending Downtrend Start on Bar 101 (2025-04-08 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 101 (2025-04-08 14:00:00+00:00) (Post-CUS of 99 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 99 (2025-04-08 06:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
102,Info: prev_bar 101 (H:5304.5) not set as PDS. Existing PDS is 101 (H:5304.5). prev_bar.h is not > existing PDS.H.
103,Info: prev_bar 102 (H:5129.0) not set as PDS. Existing PDS is 101 (H:5304.5). prev_bar.h is not > existing PDS.H.
104,Info: prev_bar 103 (H:5014.0) not set as PDS. Existing PDS is 101 (H:5304.5). prev_bar.h is not > existing PDS.H.
105,DEBUG: Confirmed CDS at Bar 101; DEBUG: New CONFIRMED CONTAINMENT established by CDS 101 (H:5304.5) and prior CUS 99 (L:5151.5). Active: True; ⏳U Pending Uptrend Start on Bar 104 (2025-04-09 02:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 101 (2025-04-08 14:00:00+00:00) (Rule: A)
106,➖ Neutral
107,➖ Neutral
108,➖ Neutral
109,Pending Downtrend Start on Bar 109 (2025-04-09 22:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 109 (2025-04-09 22:00:00+00:00) (by Rule C: HH & Down Close)
110,Info: prev_bar 109 (H:5528.75) not set as PDS. Existing PDS is 109 (H:5528.75). prev_bar.h is not > existing PDS.H.
111,DEBUG: Confirmed CDS at Bar 109; DEBUG: Confirmed CUS at Bar 104; DEBUG: New CONFIRMED CONTAINMENT established by CDS 109 (H:5528.75) and prior CUS 104 (L:4873.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 104 (L:4873.5) and prior CDS 101 (H:5304.5). Active: True; Pending Downtrend Start on Bar 111 (2025-04-10 06:00:00+00:00); Pending Downtrend Start on Bar 111 (2025-04-10 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 111 (2025-04-10 06:00:00+00:00) (by Rule C: HH & Down Close); 📈 Confirmed Uptrend Start from Bar 104 (2025-04-09 02:00:00+00:00) (Rule: HigherHighLowerLowDownClose); 📉 Confirmed Downtrend Start from Bar 109 (2025-04-09 22:00:00+00:00) (Rule: F)
112,Info: prev_bar 111 (H:5488.5) not set as PDS. Existing PDS is 111 (H:5488.5). prev_bar.h is not > existing PDS.H.
113,Info: prev_bar 112 (H:5430.0) not set as PDS. Existing PDS is 111 (H:5488.5). prev_bar.h is not > existing PDS.H.
114,Info: prev_bar 113 (H:5373.75) not set as PDS. Existing PDS is 111 (H:5488.5). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 113 (2025-04-10 14:00:00+00:00) (general PUS rule on prev_bar)
115,Info: prev_bar 114 (H:5351.75) not set as PDS. Existing PDS is 111 (H:5488.5). prev_bar.h is not > existing PDS.H.
116,DEBUG: Confirmed CDS at Bar 111; DEBUG: Confirmed CUS at Bar 113; DEBUG: New CONFIRMED CONTAINMENT established by CDS 111 (H:5488.5) and prior CUS 113 (L:5146.75). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 113 (L:5146.75) and prior CDS 109 (H:5528.75). Active: True; ⏳U Pending Uptrend Start on Bar 115 (2025-04-10 22:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 113 (2025-04-10 14:00:00+00:00) (Rule: LowUndercutHighRespect); 📉 Confirmed Downtrend Start from Bar 111 (2025-04-10 06:00:00+00:00) (Rule: A)
117,Pending Downtrend Start on Bar 117 (2025-04-11 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 117 (2025-04-11 06:00:00+00:00) (by Rule C: HH & Down Close)
118,"Info: prev_bar 117 (H:5379.5) not set as PDS. Existing PDS is 117 (H:5379.5). prev_bar.h is not > existing PDS.H.; 🧱 Containment START: Bar 118 inside Bar 117 (PENDING_DOWNTREND_HIGH H:5379.5, L:5257.0)."
119,Containment ENDED: Bar 119 💨 BREAKOUT above Bar 117 range (was 1 bar(s) inside).; DEBUG: Confirmed CDS at Bar 117; DEBUG: Confirmed CUS at Bar 115; DEBUG: New CONFIRMED CONTAINMENT established by CDS 117 (H:5379.5) and prior CUS 115 (L:5206.75). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 115 (L:5206.75) and prior CDS 111 (H:5488.5). Active: True; 📈 Confirmed Uptrend Start from Bar 115 (2025-04-10 22:00:00+00:00) (Rule: EngulfingUpPDSLowBreak); 📉 Confirmed Downtrend Start from Bar 117 (2025-04-11 06:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
120,DEBUG: Checking immediate CDS confirmation for newly set PDS 119; DEBUG: Confirmed CDS at Bar 119; DEBUG: Immediate CDS confirmation triggered for PDS 119; DEBUG: New CONFIRMED CONTAINMENT established by CDS 119 (H:5417.75) and prior CUS 115 (L:5206.75). Active: True; Signal for Pending Downtrend Start on Bar 119 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 119 (2025-04-11 14:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 119 (2025-04-11 14:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
121,Pending Downtrend Start on Bar 121 (2025-04-13 22:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 121 (2025-04-13 22:00:00+00:00) (by Rule C: HH & Down Close)
122,"Info: prev_bar 121 (H:5477.0) not set as PDS. Existing PDS is 121 (H:5477.0). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 121 (2025-04-13 22:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 122 inside Bar 121 (PENDING_DOWNTREND_HIGH H:5477.0, L:5409.75)."
123,"🧱 Containment: Bar 123 inside Bar 121 (PENDING_DOWNTREND_HIGH H:5477.0, L:5409.75) for 2 bars."
124,Containment ENDED: Bar 124 moves outside Bar 121 range (was 2 bar(s) inside).; DEBUG: Confirmed CDS at Bar 121; DEBUG: New CONFIRMED CONTAINMENT established by CDS 121 (H:5477.0) and prior CUS 115 (L:5206.75). Active: True; ⏳U Pending Uptrend Start on Bar 123 (2025-04-14 06:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 121 (2025-04-13 22:00:00+00:00) (Rule: HighBreakoutAbovePDS)
125,DEBUG: Checking immediate CDS confirmation for newly set PDS 124; DEBUG: Confirmed CDS at Bar 124; DEBUG: Confirmed CUS at Bar 123; DEBUG: Immediate CDS confirmation triggered for PDS 124; DEBUG: New CONFIRMED CONTAINMENT established by CDS 124 (H:5497.75) and prior CUS 123 (L:5441.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 123 (L:5441.5) and prior CDS 121 (H:5477.0). Active: True; Pending Downtrend Start on Bar 123 (2025-04-14 06:00:00+00:00); Signal for Pending Downtrend Start on Bar 124 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 123 (2025-04-14 06:00:00+00:00) (Post-CUS of 123 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 124 (2025-04-14 10:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 123 (2025-04-14 06:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 124 (2025-04-14 10:00:00+00:00) (Rule: G)
126,DEBUG: Checking immediate CDS confirmation for newly set PDS 125; Signal for Pending Downtrend Start on Bar 125 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 125 (2025-04-14 14:00:00+00:00) (general PDS rule on prev_bar)
127,"Info: prev_bar 126 (H:5479.25) not set as PDS. Existing PDS is 125 (H:5492.0). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 126 (2025-04-14 18:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 127 inside Bar 125 (PENDING_DOWNTREND_HIGH H:5492.0, L:5391.0)."
128,"Info: prev_bar 127 (H:5442.75) not set as PDS. Existing PDS is 125 (H:5492.0). prev_bar.h is not > existing PDS.H.; 🧱 Containment: Bar 128 inside Bar 125 (PENDING_DOWNTREND_HIGH H:5492.0, L:5391.0) for 2 bars."
129,"🧱 Containment: Bar 129 inside Bar 125 (PENDING_DOWNTREND_HIGH H:5492.0, L:5391.0) for 3 bars."
130,"DEBUG: Confirmed CDS at Bar 125; DEBUG: New CONFIRMED CONTAINMENT established by CDS 125 (H:5492.0) and prior CUS 123 (L:5441.5). Active: True; 📉 Confirmed Downtrend Start from Bar 125 (2025-04-14 14:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen); 🧱 Containment: Bar 130 inside Bar 125 (PENDING_DOWNTREND_HIGH H:5492.0, L:5391.0) for 4 bars."
131,"Pending Downtrend Start on Bar 131 (2025-04-15 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 131 (2025-04-15 14:00:00+00:00) (by Rule C: HH & Down Close); 🧱 Containment: Bar 131 inside Bar 125 (PENDING_DOWNTREND_HIGH H:5492.0, L:5391.0) for 5 bars."
132,"Info: prev_bar 131 (H:5485.0) not set as PDS. Existing PDS is 131 (H:5485.0). prev_bar.h is not > existing PDS.H.; 🧱 Containment: Bar 132 inside Bar 125 (PENDING_DOWNTREND_HIGH H:5492.0, L:5391.0) for 6 bars."
133,Containment ENDED: Bar 133 💨 BREAKDOWN below Bar 125 range (was 6 bar(s) inside).; DEBUG: Checking immediate CDS confirmation for newly set PDS 132; Signal for Pending Downtrend Start on Bar 132 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 132 (2025-04-15 18:00:00+00:00) (general PDS rule on prev_bar)
134,Info: prev_bar 133 (H:5406.5) not set as PDS. Existing PDS is 132 (H:5444.75). prev_bar.h is not > existing PDS.H.
135,DEBUG: Confirmed CDS at Bar 132; DEBUG: New CONFIRMED CONTAINMENT established by CDS 132 (H:5444.75) and prior CUS 123 (L:5441.5). Active: True; ⏳U Pending Uptrend Start on Bar 134 (2025-04-16 02:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 132 (2025-04-15 18:00:00+00:00) (Rule: A)
136,DEBUG: Checking immediate CDS confirmation for newly set PDS 135; DEBUG: Confirmed CDS at Bar 135; DEBUG: Immediate CDS confirmation triggered for PDS 135; DEBUG: New CONFIRMED CONTAINMENT established by CDS 135 (H:5425.5) and prior CUS 123 (L:5441.5). Active: True; Signal for Pending Downtrend Start on Bar 135 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 135 (2025-04-16 06:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 135 (2025-04-16 06:00:00+00:00) (Rule: G)
137,DEBUG: Confirmed CUS at Bar 134; DEBUG: New CONFIRMED CONTAINMENT established by CUS 134 (L:5339.75) and prior CDS 135 (H:5425.5). Active: True; Pending Downtrend Start on Bar 137 (2025-04-16 14:00:00+00:00); Pending Downtrend Start on Bar 137 (2025-04-16 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 137 (2025-04-16 14:00:00+00:00) (Post-CUS of 134 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 134 (2025-04-16 02:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
138,Info: prev_bar 137 (H:5401.0) not set as PDS. Existing PDS is 137 (H:5401.0). prev_bar.h is not > existing PDS.H.
139,"DEBUG: Confirmed CDS at Bar 137; DEBUG: New CONFIRMED CONTAINMENT established by CDS 137 (H:5401.0) and prior CUS 134 (L:5339.75). Active: True; ⏳U Pending Uptrend Start on Bar 138 (2025-04-16 18:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 137 (2025-04-16 14:00:00+00:00) (Rule: G); 🧱 Containment START: Bar 139 inside Bar 137 (PENDING_DOWNTREND_HIGH H:5401.0, L:5287.5)."
140,"🧱 Containment: Bar 140 inside Bar 137 (PENDING_DOWNTREND_HIGH H:5401.0, L:5287.5) for 2 bars."
141,"Pending Downtrend Start on Bar 141 (2025-04-17 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 141 (2025-04-17 06:00:00+00:00) (by Rule C: HH & Down Close); 🧱 Containment: Bar 141 inside Bar 137 (PENDING_DOWNTREND_HIGH H:5401.0, L:5287.5) for 3 bars."
142,"Info: prev_bar 141 (H:5373.75) not set as PDS. Existing PDS is 141 (H:5373.75). prev_bar.h is not > existing PDS.H.; 🧱 Containment: Bar 142 inside Bar 137 (PENDING_DOWNTREND_HIGH H:5401.0, L:5287.5) for 4 bars."
143,Containment ENDED: Bar 143 moves outside Bar 137 range (was 4 bar(s) inside).; DEBUG: Checking immediate CDS confirmation for newly set PDS 142; DEBUG: Confirmed CUS at Bar 138; DEBUG: New CONFIRMED CONTAINMENT established by CUS 138 (L:5250.75) and prior CDS 137 (H:5401.0). Active: True; Pending Downtrend Start on Bar 138 (2025-04-16 18:00:00+00:00); Signal for Pending Downtrend Start on Bar 142 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 138 (2025-04-16 18:00:00+00:00) (Post-CUS of 138 by rule LowUndercutHighRespect); ⏳D Pending Downtrend Start on Bar 142 (2025-04-17 10:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 138 (2025-04-16 18:00:00+00:00) (Rule: LowUndercutHighRespect)
144,DEBUG: Confirmed CDS at Bar 142; DEBUG: New CONFIRMED CONTAINMENT established by CDS 142 (H:5356.5) and prior CUS 138 (L:5250.75). Active: True; Pending Downtrend Start on Bar 144 (2025-04-17 18:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 144 (2025-04-17 18:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 142 (2025-04-17 10:00:00+00:00) (Rule: F)
145,Info: prev_bar 144 (H:5359.75) not set as PDS. Existing PDS is 144 (H:5359.75). prev_bar.h is not > existing PDS.H.
146,Info: prev_bar 145 (H:5309.5) not set as PDS. Existing PDS is 144 (H:5359.75). prev_bar.h is not > existing PDS.H.
147,Info: prev_bar 146 (H:5285.0) not set as PDS. Existing PDS is 144 (H:5359.75). prev_bar.h is not > existing PDS.H.
148,Info: prev_bar 147 (H:5278.0) not set as PDS. Existing PDS is 144 (H:5359.75). prev_bar.h is not > existing PDS.H.
149,Info: prev_bar 148 (H:5270.0) not set as PDS. Existing PDS is 144 (H:5359.75). prev_bar.h is not > existing PDS.H.
150,Info: prev_bar 149 (H:5220.5) not set as PDS. Existing PDS is 144 (H:5359.75). prev_bar.h is not > existing PDS.H.
151,DEBUG: Confirmed CDS at Bar 144; DEBUG: New CONFIRMED CONTAINMENT established by CDS 144 (H:5359.75) and prior CUS 138 (L:5250.75). Active: True; ⏳U Pending Uptrend Start on Bar 150 (2025-04-21 18:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 144 (2025-04-17 18:00:00+00:00) (Rule: A)
152,DEBUG: Checking immediate CDS confirmation for newly set PDS 151; DEBUG: Confirmed CDS at Bar 151; DEBUG: Immediate CDS confirmation triggered for PDS 151; DEBUG: New CONFIRMED CONTAINMENT established by CDS 151 (H:5224.0) and prior CUS 138 (L:5250.75). Active: True; Signal for Pending Downtrend Start on Bar 151 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 151 (2025-04-21 22:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 151 (2025-04-21 22:00:00+00:00) (Rule: G)
153,➖ Neutral
154,➖ Neutral
155,Pending Downtrend Start on Bar 155 (2025-04-22 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 155 (2025-04-22 14:00:00+00:00) (by Rule C: HH & Down Close)
156,DEBUG: Confirmed CUS at Bar 150; DEBUG: New CONFIRMED CONTAINMENT established by CUS 150 (L:5127.0) and prior CDS 151 (H:5224.0). Active: True; Info: prev_bar 155 (H:5339.25) not set as PDS. Existing PDS is 155 (H:5339.25). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 150 (2025-04-21 18:00:00+00:00) (Rule: LowUndercutHighRespect)
157,DEBUG: Confirmed CDS at Bar 155; DEBUG: New CONFIRMED CONTAINMENT established by CDS 155 (H:5339.25) and prior CUS 150 (L:5127.0). Active: True; ⏳U Pending Uptrend Start on Bar 156 (2025-04-22 18:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 155 (2025-04-22 14:00:00+00:00) (Rule: B)
158,DEBUG: Checking immediate CDS confirmation for newly set PDS 157; DEBUG: Confirmed CDS at Bar 157; DEBUG: Immediate CDS confirmation triggered for PDS 157; DEBUG: New CONFIRMED CONTAINMENT established by CDS 157 (H:5424.0) and prior CUS 150 (L:5127.0). Active: True; Signal for Pending Downtrend Start on Bar 157 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 157 (2025-04-22 22:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 157 (2025-04-22 22:00:00+00:00) (Rule: G)
159,➖ Neutral
160,➖ Neutral
161,DEBUG: Confirmed CUS at Bar 156; DEBUG: New CONFIRMED CONTAINMENT established by CUS 156 (L:5262.0) and prior CDS 157 (H:5424.0). Active: True; Pending Downtrend Start on Bar 161 (2025-04-23 14:00:00+00:00); Pending Downtrend Start on Bar 161 (2025-04-23 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 161 (2025-04-23 14:00:00+00:00) (Post-CUS of 156 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 156 (2025-04-22 18:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
162,Info: prev_bar 161 (H:5500.0) not set as PDS. Existing PDS is 161 (H:5500.0). prev_bar.h is not > existing PDS.H.
163,"Info: prev_bar 162 (H:5435.25) not set as PDS. Existing PDS is 161 (H:5500.0). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 162 (2025-04-23 18:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 163 inside Bar 161 (PENDING_DOWNTREND_HIGH H:5500.0, L:5385.5)."
164,Containment ENDED: Bar 164 💨 BREAKDOWN below Bar 161 range (was 1 bar(s) inside).; Info: prev_bar 163 (H:5421.25) not set as PDS. Existing PDS is 161 (H:5500.0). prev_bar.h is not > existing PDS.H.
165,Info: prev_bar 164 (H:5404.75) not set as PDS. Existing PDS is 161 (H:5500.0). prev_bar.h is not > existing PDS.H.
166,DEBUG: Confirmed CDS at Bar 161; DEBUG: New CONFIRMED CONTAINMENT established by CDS 161 (H:5500.0) and prior CUS 156 (L:5262.0). Active: True; ⏳U Pending Uptrend Start on Bar 165 (2025-04-24 06:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 161 (2025-04-23 14:00:00+00:00) (Rule: A)
167,➖ Neutral
168,➖ Neutral
169,DEBUG: Checking immediate CDS confirmation for newly set PDS 168; DEBUG: Confirmed CDS at Bar 168; DEBUG: Immediate CDS confirmation triggered for PDS 168; DEBUG: New CONFIRMED CONTAINMENT established by CDS 168 (H:5543.5) and prior CUS 156 (L:5262.0). Active: True; Signal for Pending Downtrend Start on Bar 168 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 168 (2025-04-24 18:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 168 (2025-04-24 18:00:00+00:00) (Rule: G)
170,➖ Neutral
171,DEBUG: Checking immediate CDS confirmation for newly set PDS 170; DEBUG: Confirmed CDS at Bar 170; DEBUG: Confirmed CUS at Bar 165; DEBUG: Immediate CDS confirmation triggered for PDS 170; DEBUG: New CONFIRMED CONTAINMENT established by CDS 170 (H:5553.25) and prior CUS 165 (L:5355.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 165 (L:5355.5) and prior CDS 168 (H:5543.5). Active: True; Pending Downtrend Start on Bar 165 (2025-04-24 06:00:00+00:00); Signal for Pending Downtrend Start on Bar 170 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 165 (2025-04-24 06:00:00+00:00) (Post-CUS of 165 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 170 (2025-04-25 02:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 165 (2025-04-24 06:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 170 (2025-04-25 02:00:00+00:00) (Rule: G)
172,DEBUG: Checking immediate CDS confirmation for newly set PDS 171; Signal for Pending Downtrend Start on Bar 171 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 171 (2025-04-25 06:00:00+00:00) (general PDS rule on prev_bar)
173,DEBUG: Confirmed CDS at Bar 171; DEBUG: New CONFIRMED CONTAINMENT established by CDS 171 (H:5549.25) and prior CUS 165 (L:5355.5). Active: True; 📉 Confirmed Downtrend Start from Bar 171 (2025-04-25 06:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
174,⏳U Pending Uptrend Start on Bar 173 (2025-04-25 14:00:00+00:00) (general PUS rule on prev_bar)
175,"DEBUG: Checking immediate CDS confirmation for newly set PDS 174; DEBUG: Confirmed CDS at Bar 174; DEBUG: Confirmed CUS at Bar 173; DEBUG: Immediate CDS confirmation triggered for PDS 174; DEBUG: New CONFIRMED CONTAINMENT established by CDS 174 (H:5563.25) and prior CUS 173 (L:5480.0). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 173 (L:5480.0) and prior CDS 171 (H:5549.25). Active: True; Pending Downtrend Start on Bar 173 (due to trigger by 175); Signal for Pending Downtrend Start on Bar 174 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 173 (2025-04-25 14:00:00+00:00) (Post-CUS of 173 by rule LOWER_OHLC, trigger by 175); ⏳D Pending Downtrend Start on Bar 174 (2025-04-25 18:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 173 (2025-04-25 14:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 174 (2025-04-25 18:00:00+00:00) (Rule: G); 🧱 Containment START: Bar 175 inside Bar 173 (PENDING_UPTREND_LOW H:5554.5, L:5480.0)."
176,"DEBUG: Checking immediate CDS confirmation for newly set PDS 175; Signal for Pending Downtrend Start on Bar 175 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 175 (2025-04-27 22:00:00+00:00) (general PDS rule on prev_bar); 🧱 Containment: Bar 176 inside Bar 173 (PENDING_UPTREND_LOW H:5554.5, L:5480.0) for 2 bars."
177,"DEBUG: Confirmed CDS at Bar 175; DEBUG: New CONFIRMED CONTAINMENT established by CDS 175 (H:5547.75) and prior CUS 173 (L:5480.0). Active: True; ⏳U Pending Uptrend Start on Bar 176 (2025-04-28 02:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 175 (2025-04-27 22:00:00+00:00) (Rule: B); 🧱 Containment: Bar 177 inside Bar 173 (PENDING_UPTREND_LOW H:5554.5, L:5480.0) for 3 bars."
178,Containment ENDED: Bar 178 moves outside Bar 173 range (was 3 bar(s) inside).; ⏳U Pending Uptrend Start on Bar 177 (2025-04-28 06:00:00+00:00) (general PUS rule on prev_bar)
179,DEBUG: Checking immediate CDS confirmation for newly set PDS 178; DEBUG: Confirmed CDS at Bar 178; DEBUG: Confirmed CUS at Bar 177; DEBUG: Immediate CDS confirmation triggered for PDS 178; DEBUG: New CONFIRMED CONTAINMENT established by CDS 178 (H:5578.75) and prior CUS 177 (L:5519.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 177 (L:5519.5) and prior CDS 175 (H:5547.75). Active: True; Pending Downtrend Start on Bar 177 (2025-04-28 06:00:00+00:00); Signal for Pending Downtrend Start on Bar 178 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 177 (2025-04-28 06:00:00+00:00) (Post-CUS of 177 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 178 (2025-04-28 10:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 177 (2025-04-28 06:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 178 (2025-04-28 10:00:00+00:00) (Rule: G)
180,⏳U Pending Uptrend Start on Bar 179 (2025-04-28 14:00:00+00:00) (general PUS rule on prev_bar)
181,➖ Neutral
182,Pending Downtrend Start on Bar 182 (2025-04-29 02:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 182 (2025-04-29 02:00:00+00:00) (by Rule C: HH & Down Close)
183,DEBUG: Confirmed CUS at Bar 179; DEBUG: New CONFIRMED CONTAINMENT established by CUS 179 (L:5492.75) and prior CDS 178 (H:5578.75). Active: True; Info: prev_bar 182 (H:5573.75) not set as PDS. Existing PDS is 182 (H:5573.75). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 179 (2025-04-28 14:00:00+00:00) (Rule: LowUndercutHighRespect)
184,Info: prev_bar 183 (H:5573.75) not set as PDS. Existing PDS is 182 (H:5573.75). prev_bar.h is not > existing PDS.H.
185,DEBUG: Confirmed CDS at Bar 182; DEBUG: New CONFIRMED CONTAINMENT established by CDS 182 (H:5573.75) and prior CUS 179 (L:5492.75). Active: True; ⏳U Pending Uptrend Start on Bar 184 (2025-04-29 10:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 182 (2025-04-29 02:00:00+00:00) (Rule: A)
186,Pending Downtrend Start on Bar 186 (2025-04-29 18:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 186 (2025-04-29 18:00:00+00:00) (by Rule C: HH & Down Close)
187,Info: prev_bar 186 (H:5597.5) not set as PDS. Existing PDS is 186 (H:5597.5). prev_bar.h is not > existing PDS.H.
